0	0	200	-0.0131616	370	-1.09278e-05	600	-9.23492e-11	1.5708	-1.56626	-1.5708	2.74146e-11	
1	50	200	-0.0131616	369.998	-1.10056e-05	600.997	-2.12233e-10	1.5708	-1.56174	-1.57079	2.75675e-11	
2	100	201.133	-0.0131101	369.991	-1.10935e-05	601.992	-3.32527e-10	1.57076	-1.55718	-1.57078	2.77211e-11	
3	150.001	202.264	-0.0130587	369.991	-1.10935e-05	601.992	-4.53361e-10	1.57071	-1.5526	-1.57078	2.78747e-11	
4	200.001	204.527	-0.012956	369.986	-1.12697e-05	603.983	-5.75251e-10	1.57063	-1.548	-1.57077	2.80297e-11	
5	250.001	204.527	-0.012956	369.986	-1.12697e-05	603.983	-6.97141e-10	1.57056	-1.5434	-1.57076	2.81847e-11	
6	300.002	204.527	-0.012956	369.986	-1.12697e-05	603.983	-8.19032e-10	1.57049	-1.53881	-1.57075	2.83398e-11	
7	350.002	204.527	-0.012956	369.986	-1.12697e-05	603.983	-9.40922e-10	1.57042	-1.53421	-1.57075	2.84948e-11	
8	400.002	208.932	-0.012756	369.95	-1.16241e-05	607.965	-1.07332e-09	1.57047	-1.52973	-1.57074	2.86526e-11	
9	450.002	208.932	-0.012756	369.9	-1.17165e-05	608.96	-1.20572e-09	1.57052	-1.52525	-1.57073	2.88112e-11	
10	500.002	210.019	-0.0127066	369.845	-1.18089e-05	609.955	-1.33872e-09	1.57053	-1.52073	-1.57073	2.89706e-11	
11	550.003	211.106	-0.0126572	369.845	-1.18089e-05	609.955	-1.47228e-09	1.57052	-1.5162	-1.57072	2.913e-11	
12	600.003	211.106	-0.0126572	369.744	-1.19944e-05	611.945	-1.60584e-09	1.57052	-1.51166	-1.57071	2.92909e-11	
13	650.003	213.281	-0.0125585	369.689	-1.20872e-05	612.94	-1.74051e-09	1.57047	-1.50709	-1.5707	2.94525e-11	
14	700.003	214.368	-0.0125091	369.689	-1.20872e-05	612.94	-1.87572e-09	1.57041	-1.50249	-1.5707	2.96142e-11	
15	750.003	214.368	-0.0125091	369.589	-1.22738e-05	614.931	-2.01094e-09	1.57035	-1.4979	-1.57069	2.97773e-11	
16	800.003	216.543	-0.0124103	369.589	-1.22738e-05	614.931	-2.14725e-09	1.57026	-1.49326	-1.57068	2.99405e-11	
17	850.004	218.659	-0.0123142	369.483	-1.24609e-05	616.922	-2.2931e-09	1.57033	-1.48881	-1.57068	3.01051e-11	
18	900.004	218.659	-0.0123142	369.387	-1.25579e-05	617.914	-2.43896e-09	1.5704	-1.48435	-1.57067	3.02706e-11	
19	950.004	219.702	-0.0122669	369.387	-1.25579e-05	617.914	-2.58549e-09	1.57043	-1.47985	-1.57066	3.04361e-11	
20	1000	221.788	-0.0121722	369.19	-1.27522e-05	619.899	-2.73311e-09	1.57044	-1.47533	-1.57066	3.06031e-11	
21	1050	221.788	-0.0121722	369.094	-1.28499e-05	620.892	-2.88073e-09	1.57046	-1.47082	-1.57065	3.0771e-11	
22	1100.01	222.83	-0.0121248	369.094	-1.28499e-05	620.892	-3.02902e-09	1.57044	-1.46626	-1.57064	3.09389e-11	
